Gene,UniProt,Sample_type,Tissue,Species,Repository,Reference,Confidence_Score,Description,Coverage_Map_File,Total_Ion_Intensity
SBSPON,Q8IVN8,Glomerular basement membrane,Kidney,human,PXD000456,10.1681/ASN.2013030233,44.6758,Somatomedin-B and thrombospondin type-1 domain-containing protein,Glomerular basement membrane_Q8IVN8.html,24756400
Prelp,Q9JK53,,Liver Fibrosis,mouse,MSV000081084,10.1002/hep.28918,44.6524,Prolargin,_Q9JK53.html,0
Prelp,Q9JK53,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,44.6524,Prolargin,Liver Fibrosis_Q9JK53.html,0
FBLN2,P98095,Liver Fibrosis,Liver Fibrosis,human,LiverFibrosis_Baiocchini_PlosOne,10.1371/journal.pone.0151736,44.5756,Fibulin-2,Liver Fibrosis_P98095.html,0
C1QC,P02747,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44.5051,Complement C1q subcomponent subunit C,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_P02747.html,799421
C1QC,P02747,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,44.5051,Complement C1q subcomponent subunit C,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P02747.html,2166530
MMRN1,Q13201,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,44.4867,Multimerin-1,Normal liver_Q13201.html,1475560
SRPX,P78539-3,ECM of cultured primary fibroblasts from normal prostate,Prostate,human,PXD006562,10.1002/pros.23503,44.4749,Isoform 3 of Sushi repeat-containing protein SRPX,ECM of cultured primary fibroblasts from normal prostate_P78539-3.html,2024160
SRPX,P78539-3,ECM of cultured primary fibroblasts from prostate cancer stroma,Prostate,human,PXD006562,10.1002/pros.23503,44.4749,Isoform 3 of Sushi repeat-containing protein SRPX,ECM of cultured primary fibroblasts from prostate cancer stroma_P78539-3.html,560001
Mst1,P26928,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,44.2986,Hepatocyte growth factor-like protein,Bronchoalveolar lavage of fibrotic lung_P26928.html,161946000
Mst1,P26928,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,44.2986,Hepatocyte growth factor-like protein,Bronchoalveolar lavage of normal lung_P26928.html,4401440
Npnt,Q91V88-3,Lymph node metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,44.2935,Isoform 3 of Nephronectin,Lymph node metastasis (4T1)_Q91V88-3.html,9402130
Npnt,Q91V88-3,Syngeneic mammary tumor (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,44.2935,Isoform 3 of Nephronectin,Syngeneic mammary tumor (4T1)_Q91V88-3.html,74238800
HCFC2,Q9Y5Z7,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,44.1842,Host cell factor 2,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q9Y5Z7.html,152220
HCFC2,Q9Y5Z7,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,44.1842,Host cell factor 2,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q9Y5Z7.html,27246.3
CTSH,P09668,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,44.0878,Pro-cathepsin H,Asymptomatic carotid (Soluble protein fraction)_P09668.html,0
CTSH,P09668,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,44.0878,Pro-cathepsin H,Proteins from human vascular SMCs in culture_P09668.html,0
CTSH,P09668,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,44.0878,Pro-cathepsin H,Symptomatic carotid stenosis (Soluble protein fraction)_P09668.html,0
HMCN2,Q8NDA2-4,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,44.0819,Isoform 3 of Hemicentin-2,Normal Saphenous Vein (Insoluble protein fraction)_Q8NDA2-4.html,89597000
HMCN2,Q8NDA2-4,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,44.0819,Isoform 3 of Hemicentin-2,Normal Saphenous Vein (Soluble protein fraction)_Q8NDA2-4.html,602913
HMCN2,Q8NDA2-4,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,44.0819,Isoform 3 of Hemicentin-2,Symptomatic carotid stenosis (Soluble protein fraction)_Q8NDA2-4.html,0
HMCN2,Q8NDA2-4,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,44.0819,Isoform 3 of Hemicentin-2,Varicose Saphenous Vein (Insoluble protein fraction)_Q8NDA2-4.html,51135900
HMCN2,Q8NDA2-4,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,44.0819,Isoform 3 of Hemicentin-2,Varicose Saphenous Vein (Soluble protein fraction)_Q8NDA2-4.html,7970040
Thbs4,Q9Z1T2,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,44.0798,Thrombospondin-4,Bronchoalveolar lavage of fibrotic lung_Q9Z1T2.html,231539008
Thbs4,Q9Z1T2,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,44.0798,Thrombospondin-4,Bronchoalveolar lavage of normal lung_Q9Z1T2.html,8798270
GPC1,P35052,Cranial bone  (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.9861,Glypican-1,Cranial bone  (Patent coronal suture)_P35052.html,44540800
GPC1,P35052,Cranial bone (Fused coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.9861,Glypican-1,Cranial bone (Fused coronal suture)_P35052.html,9837220
GPC1,P35052,Cranial bone (Fused sagittal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.9861,Glypican-1,Cranial bone (Fused sagittal suture)_P35052.html,27477400
GPC1,P35052,Cranial bone (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.9861,Glypican-1,Cranial bone (Patent coronal suture)_P35052.html,22230700
GPC1,P35052,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.9861,Glypican-1,Cranial bone (Patent metopic suture)_P35052.html,20094300
ANXA6,P08133,Normal omental tissue (Soluble protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,43.9223,Annexin A6,Normal omental tissue (Soluble protein fraction)_P08133.html,4708500
Wnt9a,Q8R5M2,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,43.7492,Protein Wnt-9a,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q8R5M2.html,100674000
COL3A1,P02461-2,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,43.7106,Isoform 2 of Collagen alpha-1(III) chain,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P02461-2.html,14138200100
Fgg,Q8VCM7,Normal pancreatic islets and insulinoma (iTRAQ experiment),Pancretic Islet,mouse,PXD005608/MSV000080124,10.1038/srep40495,43.6491,Fibrinogen gamma chain,Normal pancreatic islets and insulinoma (iTRAQ experiment)_Q8VCM7.html,21448300
FBLN1,P23142-2,Normal prostate (Insoluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,43.6435,Isoform A of Fibulin-1,Normal prostate (Insoluble protein fraction)_P23142-2.html,123773000
LOXL2,Q9Y4K0,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,43.6349,Lysyl oxidase homolog 2,Liver metastasis from metastatic colorectal tumor_Q9Y4K0.html,1153970
LOXL2,Q9Y4K0,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,43.6349,Lysyl oxidase homolog 2,Primary metastatic colorectal tumor_Q9Y4K0.html,944309
Col4a3,Q9QZS0,,Liver Fibrosis,mouse,MSV000081084,10.1002/hep.28918,43.5319,Collagen alpha-3(IV) chain,_Q9QZS0.html,0
Col4a3,Q9QZS0,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,43.5319,Collagen alpha-3(IV) chain,Liver Fibrosis_Q9QZS0.html,0
COL6A2,P12110,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,43.5175,Collagen alpha-2(VI) chain,Normal liver_P12110.html,6727160
Clec2e,Q80XD9,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,43.5063,C-type lectin domain family 2 member E,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q80XD9.html,6513550
ECM1,Q16610-4,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,43.4581,Isoform 4 of Extracellular matrix protein 1,Liver metastasis from metastatic colorectal tumor_Q16610-4.html,2641420
ECM1,Q16610-4,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,43.4581,Isoform 4 of Extracellular matrix protein 1,Primary metastatic colorectal tumor_Q16610-4.html,6895840
Tnn,Q80Z71,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,43.3996,Tenascin-N,Bronchoalveolar lavage of normal lung_Q80Z71.html,4201340
Tnn,Q80Z71,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,43.3996,Tenascin-N,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q80Z71.html,295720000
SERPINA5,P05154,Cranial bone  (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.1825,Plasma serine protease inhibitor,Cranial bone  (Patent coronal suture)_P05154.html,5618960
SERPINA5,P05154,Cranial bone (Fused coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.1825,Plasma serine protease inhibitor,Cranial bone (Fused coronal suture)_P05154.html,4624870
SERPINA5,P05154,Cranial bone (Fused metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.1825,Plasma serine protease inhibitor,Cranial bone (Fused metopic suture)_P05154.html,7919220
SERPINA5,P05154,Cranial bone (Fused sagittal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.1825,Plasma serine protease inhibitor,Cranial bone (Fused sagittal suture)_P05154.html,20231900
SERPINA5,P05154,Cranial bone (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.1825,Plasma serine protease inhibitor,Cranial bone (Patent coronal suture)_P05154.html,17243100
SERPINA5,P05154,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,43.1825,Plasma serine protease inhibitor,Cranial bone (Patent metopic suture)_P05154.html,6002900
Col16a1,Q8BLX7,Normal colon,Colon,mouse,MSV000078494,10.1074/mcp.M111.014647,43.1688,Collagen alpha-1(XVI) chain,Normal colon_Q8BLX7.html,820238
S100A7,P31151,Basement membrane of inner limiting membrane,Eye,human,PXD001025,10.1021/pr5002065,43.0328,Protein S100-A7,Basement membrane of inner limiting membrane_P31151.html,1160350
COL15A1,P39059,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,42.9728,Collagen alpha-1(XV) chain,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_P39059.html,108586
COL15A1,P39059,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,42.9728,Collagen alpha-1(XV) chain,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P39059.html,5667400
S100A6,P06703,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,42.9466,Protein S100-A6,Omental metastasis from HGS ovarian carcinoma (Crude ECM protein fraction)_P06703.html,26142900
S100A6,P06703,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,42.9466,Protein S100-A6,Omental metastasis from HGS ovarian carcinoma (Soluble protein fraction)_P06703.html,181151008
MFAP4,P55083,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,42.8595,Microfibril-associated glycoprotein 4,Normal colon_P55083.html,629473
Postn,Q62009-2,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,42.8184,Isoform 2 of Periostin,Bronchoalveolar lavage of fibrotic lung_Q62009-2.html,1438200060
Postn,Q62009-2,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,42.8184,Isoform 2 of Periostin,Normal lung_Q62009-2.html,632091010
Cst3,P21460,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,42.7733,Cystatin-C,Lung metastasis (4T1)_P21460.html,33935800
Cst3,P21460,Lymph node metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,42.7733,Cystatin-C,Lymph node metastasis (4T1)_P21460.html,4673500
Cst3,P21460,Syngeneic mammary tumor (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,42.7733,Cystatin-C,Syngeneic mammary tumor (4T1)_P21460.html,140486000
COL15A1,P39059,Normal omental tissue (Crude ECM protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,42.6055,Collagen alpha-1(XV) chain,Normal omental tissue (Crude ECM protein fraction)_P39059.html,474912
COL15A1,P39059,Normal omental tissue (Soluble protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,42.6055,Collagen alpha-1(XV) chain,Normal omental tissue (Soluble protein fraction)_P39059.html,2570250
LRG1,P02750,Cranial bone  (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,42.4874,Leucine-rich alpha-2-glycoprotein,Cranial bone  (Patent coronal suture)_P02750.html,1323350
LRG1,P02750,Cranial bone (Fused coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,42.4874,Leucine-rich alpha-2-glycoprotein,Cranial bone (Fused coronal suture)_P02750.html,3771750
LRG1,P02750,Cranial bone (Fused metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,42.4874,Leucine-rich alpha-2-glycoprotein,Cranial bone (Fused metopic suture)_P02750.html,1157240
LRG1,P02750,Cranial bone (Patent coronal suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,42.4874,Leucine-rich alpha-2-glycoprotein,Cranial bone (Patent coronal suture)_P02750.html,1597420
LRG1,P02750,Cranial bone (Patent metopic suture),Cranial Bone,human,PXD003215,10.1016/j.ab.2016.09.021,42.4874,Leucine-rich alpha-2-glycoprotein,Cranial bone (Patent metopic suture)_P02750.html,4229880
Frem1,Q684R7-3,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,42.3911,Isoform 3 of FRAS1-related extracellular matrix protein 1,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q684R7-3.html,9652119600
Aebp1,Q640N1,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,42.3006,Adipocyte enhancer-binding protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q640N1.html,25405600
S100A10,P60903,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,42.2693,Protein S100-A10,Liver metastasis from metastatic colorectal tumor_P60903.html,1242580
S100A10,P60903,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,42.2693,Protein S100-A10,Primary metastatic colorectal tumor_P60903.html,9050530
Mmrn1,B2RPV6,Lymph node metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,42.1913,Multimerin-1,Lymph node metastasis (4T1)_B2RPV6.html,72417696
Mmrn1,B2RPV6,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,42.1913,Multimerin-1,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_B2RPV6.html,16546.8
IGFBP3,P17936,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,42.1623,Insulin-like growth factor-binding protein 3,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P17936.html,231024
IGFBP3,P17936,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,42.1623,Insulin-like growth factor-binding protein 3,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P17936.html,847915
NPNT,Q6UXI9-3,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,42.1451,Isoform 3 of Nephronectin,Normal colon_Q6UXI9-3.html,19957.8
LTBP1,Q14766,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,42.0703,Latent-transforming growth factor beta-binding protein 1,Normal liver_Q14766.html,1714950
CTSH,P09668,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,41.9676,Pro-cathepsin H,Liver metastasis from metastatic colorectal tumor_P09668.html,1833940
SERPINB9,P50453,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.8889,Serpin B9,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P50453.html,1533100
SERPINB9,P50453,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.8889,Serpin B9,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P50453.html,93222.1
MASP1,P48740-3,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,41.8399,Isoform 3 of Mannan-binding lectin serine protease 1,Asymptomatic carotid (Soluble protein fraction)_P48740-3.html,0
MASP1,P48740-3,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,41.8399,Isoform 3 of Mannan-binding lectin serine protease 1,Symptomatic carotid stenosis (Soluble protein fraction)_P48740-3.html,0
LGALS8,O00214,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.8075,Galectin-8,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_O00214.html,413035
LGALS8,O00214,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.8075,Galectin-8,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_O00214.html,641784
Prelp,Q9JK53,Normal mammary gland,Breast,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,41.7206,Prolargin,Normal mammary gland_Q9JK53.html,83134496
SEMA3D,O95025,ECM of cultured primary fibroblasts from normal prostate,Prostate,human,PXD006562,10.1002/pros.23503,41.7196,Semaphorin-3D,ECM of cultured primary fibroblasts from normal prostate_O95025.html,2275730
SEMA3D,O95025,ECM of cultured primary fibroblasts from prostate cancer stroma,Prostate,human,PXD006562,10.1002/pros.23503,41.7196,Semaphorin-3D,ECM of cultured primary fibroblasts from prostate cancer stroma_O95025.html,1130420
Anxa6,P14824,Normal colon,Colon,mouse,MSV000078494,10.1074/mcp.M111.014647,41.5805,Annexin A6,Normal colon_P14824.html,479404
S100a6,P14069,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.5111,Protein S100-A6,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P14069.html,96202.2
S100a6,P14069,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,41.5111,Protein S100-A6,Lung metastasis (4T1)_P14069.html,14083900
S100a6,P14069,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.5111,Protein S100-A6,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P14069.html,255990
COL6A6,A6NMZ7,Normal omental tissue (Crude ECM protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,41.4793,Collagen alpha-6(VI) chain,Normal omental tissue (Crude ECM protein fraction)_A6NMZ7.html,1691430
COL6A6,A6NMZ7,Normal omental tissue (Soluble protein fraction),Omentum,human,PXD005554,10.1021/acs.jproteome.7b00191,41.4793,Collagen alpha-6(VI) chain,Normal omental tissue (Soluble protein fraction)_A6NMZ7.html,4018830
Serpinc1,P32261,,Liver Fibrosis,mouse,MSV000081084,10.1002/hep.28918,41.4417,Antithrombin-III,_P32261.html,0
Serpinc1,P32261,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,41.4417,Antithrombin-III,Liver Fibrosis_P32261.html,0
Vcan,Q62059-3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,41.3901,Isoform V2 of Versican core protein,Normal lung_Q62059-3.html,58085000
Vcan,Q62059-3,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,41.3901,Isoform V2 of Versican core protein,Normal lung_Q62059-3.html,58085000
Vcan,Q62059-3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,41.3901,Isoform V2 of Versican core protein,Normal lung ECM (Quantitative detergent solubility profiling)_Q62059-3.html,11321100
SRPX2,O60687,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,41.2602,Sushi repeat-containing protein SRPX2,Asymptomatic carotid (Insoluble ECM protein fraction)_O60687.html,0
SRPX2,O60687,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,41.2602,Sushi repeat-containing protein SRPX2,Asymptomatic carotid (Soluble protein fraction)_O60687.html,0
SRPX2,O60687,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,41.2602,Sushi repeat-containing protein SRPX2,Normal Saphenous Vein (Insoluble protein fraction)_O60687.html,631974
SRPX2,O60687,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,41.2602,Sushi repeat-containing protein SRPX2,Proteins from human vascular SMCs in culture_O60687.html,0
SRPX2,O60687,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,41.2602,Sushi repeat-containing protein SRPX2,Retinal vascular basement membrane_O60687.html,143706
SRPX2,O60687,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,41.2602,Sushi repeat-containing protein SRPX2,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_O60687.html,0
SRPX2,O60687,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,41.2602,Sushi repeat-containing protein SRPX2,Symptomatic carotid stenosis (Soluble protein fraction)_O60687.html,0
SRPX2,O60687,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,41.2602,Sushi repeat-containing protein SRPX2,Varicose Saphenous Vein (Insoluble protein fraction)_O60687.html,787068
SERPINB1,P30740,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.214,Leukocyte elastase inhibitor,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P30740.html,353198
SERPINB1,P30740,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,41.214,Leukocyte elastase inhibitor,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_P30740.html,201583
PRELP,P51888,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,40.9043,Prolargin,Normal liver_P51888.html,531049
ABI3BP,Q7Z7G0,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,40.8465,Target of Nesh-SH3,Normal colon_Q7Z7G0.html,2069900
ECM1,Q16610-3,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,40.8111,Isoform 3 of Extracellular matrix protein 1,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q16610-3.html,7940860
ECM1,Q16610-3,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,40.8111,Isoform 3 of Extracellular matrix protein 1,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q16610-3.html,3465490
F9,P00740,Normal liver,Liver,human,MSV000078555,10.1186/1471-2407-14-518,40.7982,Coagulation factor IX,Normal liver_P00740.html,571144
ELANE,P08246,Normal prostate (Insoluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,40.7759,Neutrophil elastase,Normal prostate (Insoluble protein fraction)_P08246.html,1096900
ELANE,P08246,Normal prostate (Soluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,40.7759,Neutrophil elastase,Normal prostate (Soluble protein fraction)_P08246.html,28776100
Muc4,Q8JZM8,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,40.6205,Mucin-4,Bronchoalveolar lavage of fibrotic lung_Q8JZM8.html,566910980
Muc4,Q8JZM8,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,40.6205,Mucin-4,Bronchoalveolar lavage of normal lung_Q8JZM8.html,24665100
Dmbt1,Q60997-3,Normal colon,Colon,mouse,MSV000078494,10.1074/mcp.M111.014647,40.617,Isoform 3 of Deleted in malignant brain tumors 1 protein,Normal colon_Q60997-3.html,770986
COL7A1,Q02388,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,40.6121,Collagen alpha-1(VII) chain,Asymptomatic carotid (Soluble protein fraction)_Q02388.html,0
COL7A1,Q02388,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,40.6121,Collagen alpha-1(VII) chain,Normal Saphenous Vein (Insoluble protein fraction)_Q02388.html,1223440
COL7A1,Q02388,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,40.6121,Collagen alpha-1(VII) chain,Proteins from human vascular SMCs in culture_Q02388.html,0
